2026-04-27 12:11:03 | Lux: 30.00 lx | Light: 3.00%
2026-04-27 12:14:13 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:14 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:15 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:17 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:14:18 | Lux: 20.83 lx | Light: 2.08%
2026-04-27 12:14:19 | Lux: 20.83 lx | Light: 2.08%
2026-04-27 12:14:20 | Lux: 20.83 lx | Light: 2.08%
2026-04-27 12:14:22 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:14:23 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:24 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:25 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:26 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:28 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:29 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:30 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:31 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:33 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:34 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:35 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:36 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:37 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:39 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:40 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:41 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:42 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:44 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:45 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:46 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:47 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:48 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:50 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:51 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:52 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:53 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:55 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:56 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:57 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:58 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:14:59 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:01 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:02 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:03 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:04 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:06 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:07 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:08 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:09 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:10 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:12 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:13 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:14 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:15 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:17 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:18 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:19 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:20 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:22 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:23 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:24 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:25 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:26 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:28 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:15:29 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:15:30 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:15:31 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:33 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:34 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:35 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:36 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:37 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:39 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:40 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:41 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:42 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:44 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:45 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:46 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:47 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:48 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:50 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:51 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:52 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:53 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:55 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:56 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:57 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:58 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:15:59 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:01 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:02 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:03 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:04 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:06 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:07 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:08 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:09 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:10 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:12 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:13 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:14 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:15 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:16:17 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:16:18 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:16:19 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:16:20 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:21 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:23 | Lux: 21.67 lx | Light: 2.17%
2026-04-27 12:16:24 | Lux: 21.67 lx | Light: 2.17%
2026-04-27 12:16:25 | Lux: 21.67 lx | Light: 2.17%
2026-04-27 12:16:26 | Lux: 21.67 lx | Light: 2.17%
2026-04-27 12:16:28 | Lux: 21.67 lx | Light: 2.17%
2026-04-27 12:16:29 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:16:30 | Lux: 22.50 lx | Light: 2.25%
2026-04-27 12:16:31 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:33 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:34 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:35 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:36 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:37 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:39 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:40 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:41 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:42 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:44 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:45 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:46 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:47 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:48 | Lux: 23.33 lx | Light: 2.33%
2026-04-27 12:16:50 | Lux: 20.00 lx | Light: 2.00%
2026-04-27 12:16:51 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:16:52 | Lux: 1.67 lx | Light: 0.17%
2026-04-27 12:16:53 | Lux: 2.50 lx | Light: 0.25%
2026-04-27 12:16:55 | Lux: 42.50 lx | Light: 4.25%
2026-04-27 12:16:56 | Lux: 41.67 lx | Light: 4.17%
2026-04-27 12:16:57 | Lux: 40.83 lx | Light: 4.08%
2026-04-27 12:16:58 | Lux: 40.83 lx | Light: 4.08%
2026-04-27 12:16:59 | Lux: 40.83 lx | Light: 4.08%
2026-04-27 12:17:01 | Lux: 40.83 lx | Light: 4.08%
2026-04-27 12:17:02 | Lux: 40.83 lx | Light: 4.08%
2026-04-27 12:17:03 | Lux: 41.67 lx | Light: 4.17%
2026-04-27 12:17:04 | Lux: 120.00 lx | Light: 12.00%
2026-04-27 12:17:06 | Lux: 65.00 lx | Light: 6.50%
2026-04-27 12:17:07 | Lux: 145.83 lx | Light: 14.58%
2026-04-27 12:17:08 | Lux: 46.67 lx | Light: 4.67%
2026-04-27 12:17:09 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:10 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:12 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:13 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:14 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:15 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:17 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:18 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:19 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:20 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:21 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:23 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:24 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:25 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:26 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:28 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:29 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:30 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:31 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:32 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:34 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:35 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:36 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:37 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:39 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:40 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:41 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:42 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:44 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:45 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:46 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:17:47 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:48 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:50 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:51 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:52 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:53 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:55 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:56 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:57 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:58 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:17:59 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:01 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:02 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:03 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:04 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:06 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:07 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:08 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:09 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:10 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:12 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:13 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:14 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:15 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:17 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:18 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:19 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:20 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:21 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:23 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:24 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:25 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:26 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:28 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:29 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:30 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:31 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:32 | Lux: 39.17 lx | Light: 3.92%
2026-04-27 12:18:34 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:35 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:36 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:37 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:39 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:40 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:41 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:42 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:43 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:45 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:46 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:47 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:48 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:50 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:51 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:52 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:53 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:55 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:56 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:57 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:58 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:18:59 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:01 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:02 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:03 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:04 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:06 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:07 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:08 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:09 | Lux: 38.33 lx | Light: 3.83%
2026-04-27 12:19:10 | Lux: 38.33 lx | Light: 3.83%
